时间,微压差
80.34,-102
80.44,-106
80.5,-108
80.61,-109
80.7,-109
80.77,-110
80.86,-114
80.92,-115
81.02,-117
81.08,-118
81.19,-119
81.28,-121
81.34,-123
81.44,-125
81.5,-126
81.61,-126
81.7,-129
81.77,-131
81.86,-133
81.92,-133
82.03,-134
82.13,-137
82.19,-139
82.28,-142
82.34,-143
82.45,-144
82.55,-147
82.61,-149
82.7,-153
82.77,-155
82.88,-156
82.97,-160
83.03,-162
83.13,-166
83.19,-167
83.28,-168
83.34,-169
83.42,-171
83.53,-176
83.63,-179
83.69,-180
83.8,-182
83.89,-187
83.95,-189
84.05,-191
84.11,-192
84.22,-192
84.31,-197
84.38,-199
84.47,-202
84.53,-203
84.63,-205
84.69,-207
84.8,-212
84.89,-213
84.95,-214
85.05,-215
85.11,-217
85.22,-221
85.31,-224
85.38,-225
85.47,-225
85.53,-227
85.64,-231
85.74,-52
85.8,-59
85.89,-67
85.95,-71
86.06,-79
86.16,-82
86.22,-85
86.31,-88
86.38,-90
86.49,-96
86.58,-101
86.64,-103
86.74,-105
86.8,-105
86.91,-111
87,-116
87.06,-117
87.16,-119
87.22,-121
87.31,-126
87.38,-129
87.49,-130
87.58,-132
87.64,-133
87.74,-138
87.8,-141
87.91,-144
88.03,-146
88.14,-150
88.24,-155
88.3,-156
88.41,-157
88.5,-159
88.56,-161
88.66,-166
88.72,-167
88.83,-169
88.92,-172
88.99,-174
89.08,-177
89.14,-179
89.25,-181
89.34,-183
89.41,-185
89.5,-190
89.56,-191
89.67,-193
89.77,-194
89.83,-195
89.92,-200
89.99,-202
90.09,-204
90.19,-206
90.25,-208
90.34,-210
90.41,-212
90.52,-215
90.61,-216
90.67,-218
90.77,-222
90.83,-224
90.94,-226
91.03,-226
91.09,-228
91.19,-228
91.25,-99
91.36,-63
91.45,-70
91.52,-73
91.61,-82
91.67,-82
91.78,-87
91.88,-91
91.94,-92
92.03,-99
92.09,-102
92.19,-106
92.25,-107
92.36,-108
92.45,-113
92.52,-116
92.61,-120
92.67,-120
92.75,-121
92.86,-125
92.95,-130
93.02,-132
93.13,-134
93.22,-137
93.28,-137
93.38,-142
93.44,-144
93.55,-146
93.64,-148
93.7,-150
93.8,-155
93.86,-157
93.95,-158
94.02,-159
94.13,-161
94.22,-166
94.28,-168
94.38,-170
94.44,-171
94.52,-172
94.63,-176
94.72,-180
94.78,-181
94.89,-182
94.99,-185
95.05,-187
95.14,-192
95.2,-193
95.3,-194
95.36,-195
95.47,-200
95.56,-202
95.63,-204
95.72,-205
95.78,-206
95.89,-210
95.99,-214
96.05,-216
96.14,-217
96.2,-217
96.31,-220
96.41,-225
96.47,-226
96.56,-228
96.63,-228
96.74,-174
96.83,-60
96.89,-62
96.99,-71
97.05,-74
97.16,-81
97.25,-88
97.31,-91
97.41,-94
97.47,-94
97.58,-99
97.67,-105
97.74,-107
97.83,-110
97.89,-111
97.99,-115
98.05,-118
98.16,-121
