"time","temper","val"
179015,24,-6.2616
180000,24,-6.1305
181000,24,-6.0018
182015,24,-5.8714
183000,24,-5.7291
184000,24,-5.5853
185000,24,-5.4525
186000,24,-5.3255
187000,24,-5.2157
188000,24,-5.1061
189000,24,-5.0019
190015,24,-4.9041
191015,24,-4.8190
192000,24,-4.7288
193000,24,-4.6284
194000,24,-4.5227
195000,24,-4.4248
196000,24,-4.3193
197015,24,-4.2136
198000,24,-4.1240
199015,24,-4.0408
200000,24,-3.9424
201015,24,-3.8352
202000,24,-3.7188
203000,24,-3.6047
204000,24,-3.5047
205000,24,-3.4168
206000,24,-3.3489
207000,24,-3.3040
208000,24,-3.2635
209000,24,-3.2166
210015,24,-3.1628
211015,24,-3.1118
212015,24,-3.0609
213015,24,-3.0145
214015,24,-2.9749
215015,24,-2.9428
216015,24,-2.9139
217015,24,-2.8732
218000,24,-2.8061
219015,24,-2.7272
220015,24,-2.6603
221015,24,-2.6001
222015,24,-2.5604
223000,24,-2.5315
224015,24,-2.5135
225015,24,-2.4861
226000,24,-2.4600
227015,24,-2.4222
228015,24,-2.3875
229015,24,-2.3572
230015,24,-2.3272
231000,24,-2.3053
232015,24,-2.2788
233015,24,-2.2410
234015,24,-2.2029
235015,24,-2.1561
236000,24,-2.0957
237015,24,-2.0360
238000,24,-1.9890
239015,24,-1.9646
240000,24,-1.9549
241015,24,-1.9439
242000,24,-1.9400
243015,24,-1.9236
244015,24,-1.8952
245015,24,-1.8496
246000,24,-1.7964
247000,24,-1.7383
248000,24,-1.6824
249000,24,-1.6518
250000,24,-1.6367
251015,24,-1.6232
252000,24,-1.6040
253015,24,-1.5724
254015,24,-1.5395
255000,24,-1.5034
256015,24,-1.4684
257000,24,-1.4370
258000,24,-1.4114
259015,24,-1.3853
260000,24,-1.3620
261000,24,-1.3338
262015,24,-1.3110
263015,24,-1.2928
264015,24,-1.2828
265000,24,-1.2841
266000,24,-1.2894
267000,24,-1.2944
268015,24,-1.2991
269015,24,-1.3017
270015,24,-1.3058
271015,24,-1.3055
272000,24,-1.2961
273000,24,-1.2764
274000,24,-1.2528
275015,24,-1.2351
276000,24,-1.2199
277000,24,-1.1995
278000,24,-1.1879
279015,24,-1.1794
280015,24,-1.1752
281015,24,-1.1553
282000,24,-1.1251
283000,24,-1.0904
284000,24,-1.0658
285015,24,-1.0602
286015,24,-1.0664
287000,24,-1.0635
288000,24,-1.0626
289015,24,-1.0421
290000,24,-1.0030
291000,24,-0.9588
292000,24,-0.9184
293000,24,-0.8909
294000,24,-0.8823
295000,24,-0.8879
296015,24,-0.8988
297015,24,-0.8937
298000,24,-0.8794
299015,24,-0.8718
300015,24,-0.8534
301000,24,-0.8270
302000,24,-0.8095
303015,24,-0.8027
304015,24,-0.8062
305015,24,-0.8052
306015,24,-0.8098
307015,24,-0.8150
308000,24,-0.8192
309000,24,-0.8270
310015,24,-0.8212
311000,24,-0.7916
312015,24,-0.7659
313000,24,-0.7554
314000,24,-0.7718
315000,24,-0.8065
316015,24,-0.8496
317000,24,-0.8815
318015,24,-0.9107
319015,24,-0.9338
320015,24,-0.9324
321000,24,-0.9294
322015,24,-0.9216
323015,24,-0.9067
324015,24,-0.8887
325015,24,-0.8668
326000,24,-0.8379
327015,24,-0.8180
328000,24,-0.8030
329000,24,-0.7829
330015,24,-0.7621
331000,24,-0.7465
332015,24,-0.7362
333015,24,-0.7256
334000,24,-0.7183
335015,24,-0.7019
336000,24,-0.6826
337015,24,-0.6633
338015,24,-0.6402
339015,24,-0.6083
340015,24,-0.5810
341015,24,-0.5708
342015,24,-0.5790
343000,24,-0.5949
344000,24,-0.6129
345000,24,-0.6370
346015,24,-0.6576
347000,24,-0.6722
348000,24,-0.6766
349000,24,-0.6702
350000,24,-0.6680
351000,24,-0.6758
352015,24,-0.6861
353015,24,-0.6835
354015,24,-0.6663
355000,24,-0.6470
356000,24,-0.6241
357015,24,-0.6166
358000,24,-0.6179
359015,24,-0.6232
360000,24,-0.6304
361000,24,-0.6434
362000,24,-0.6438
363015,24,-0.6473
364000,24,-0.6457
365000,24,-0.6325
366015,24,-0.6163
367000,24,-0.6045
368000,24,-0.6029
369000,24,-0.5935
370015,24,-0.5929
371000,24,-0.5985
372015,24,-0.5999
373000,24,-0.5960
374000,24,-0.5815
375015,24,-0.5634
376015,24,-0.5540
377000,24,-0.5583
378015,24,-0.5687
379015,24,-0.5674
380000,24,-0.5522
381015,24,-0.5313
382015,24,-0.5065
383000,24,-0.4968
384000,24,-0.5011
385000,24,-0.5180
386015,24,-0.5356
387000,24,-0.5592
388015,24,-0.5877
389000,24,-0.6037
390015,24,-0.6079
391015,23,-0.6049
392015,24,-0.6213
393000,24,-0.9148
394015,24,-1.6520
395015,24,-2.7299
396015,24,-3.5992
397015,24,-3.9962
398000,24,-3.7099
